FishID,GroupID,Rank,LC_Adj,TL,Init_TL,Diff_TL,Perc_change_TL,R2_Shrink,R1_Shrink,Shrinking,Size_R2R1_Initial,Max_Temp_LC,Max_Temp_LC_INIT
B58_1,B58,1,3,80.33,80,0.33,0.4125,,0,0,0.747875,31.403,32.573
LY399_1,LY399,1,4,80.33,80,0.33,0.4125,,0,0,0.766625,30.443,31.348
B008_1,B008,1,4,78.5,78.17,0.33,0.422156838,,0,0,0.803761034,30.2,31.44
LY529B016_1,LY529B016,1,4,77.67,77.33,0.33,0.426742532,,0,0,0.775895513,30.37,32.068
LY97_1,LY97,1,5,74.67,74.33,0.33,0.443966097,,0,0,0.742230593,28.686,30.44
O142_1,O142,1,4,74.5,74.17,0.33,0.444923824,,0,0,0.768504786,30.22,31.373
B007_1,B007,1,4,74.33,74,0.33,0.445945946,,0,0,0.727432432,30.28,31.87
SY517_1,SY517,1,3,74,73.67,0.33,0.447943532,,0,0,0.769241211,32.088,32.357
O36_1,O36,1,1,73.33,73,0.33,0.452054795,,0,0,0.753424658,32.333,32.03425
LY97_1,LY97,1,3,73,72.67,0.33,0.45410761,,0,0,0.740745837,31.17,32.475
LY274B14_1,LY274B14,1,3,72.67,72.33,0.33,0.456242223,,0,0,0.762754044,31.313,32.634
B005_1,B005,1,4,71,70.67,0.33,0.466959106,,0,0,0.797085043,30.18,31.49
B27_1,B27,1,4,70.83,70.5,0.33,0.468085106,,0,0,0.784822695,30.18,31.583
LY344_1,LY344,1,2,70.67,70.33,0.33,0.469216551,,0,0,0.805772785,32.165,32.992
LY355B012_1,LY355B012,1,5,69.5,69.17,0.33,0.477085442,,0,0,,28.87014286,30.508
SY518_1,SY518,1,4,67.83,67.5,0.33,0.488888889,,0,0,0.804888889,29.927,31.933
LY372_1,LY372,1,5,67,66.67,0.33,0.494975251,,0,0,,28.13142857,30.26
B33_1,B33,1,3,66.67,66.33,0.33,0.497512438,,0,0,0.80159807,31.55,32.704
B21_1,B21,1,5,65.83,65.5,0.33,0.503816794,,0,0,0.748091603,27.569,30.03
B68_2,B68,2,5,65.67,65.33,0.33,0.505127813,0,,0,0.78239521,27.97025,30.2
B21_1,B21,1,3,65.33,65,0.33,0.507692308,,0,0,0.753846154,31.543,32.645
LY249_1,LY249,1,2,65.33,65,0.33,0.507692308,,0,0,0.953846154,32.78,32.649
B80_1,B80,1,5,65,64.67,0.33,0.510282975,,0,0,0.791247874,28.75775,30.598
B80_1,B80,1,3,64.67,64.33,0.33,0.512979947,,0,0,0.785014768,31.47,32.6
LY363_1,LY363,1,2,63.33,63,0.33,0.523809524,,0,0,0.801587302,32.56,32.587
B46_2,B46,2,3,63.17,62.83,0.33,0.525226802,0,,0,0.782148637,31.42,33.159
LY85_1,LY85,1,4,63.17,62.83,0.33,0.525226802,,0,0,0.753302562,30.83,31.287
B008_2,B008,2,3,62.83,62.5,0.33,0.528,0,,0,0.808224492,31.44,32.36
LY357_2,LY357,2,4,61.33,61,0.33,0.540983607,0,,0,0.826222403,30.37,31.57
LY357_2,LY357,2,3,61,60.67,0.33,0.543926158,0,,0,0.838794414,31.57,32.143
LY529B016_2,LY529B016,2,5,60.83,60.5,0.33,0.545454545,0,,0,0.778936526,28.5155,30.37
B24_1,B24,1,5,60,59.67,0.33,0.55304173,,0,0,0.776437071,27.0295,30.03
B49_2,B49,2,3,59,58.67,0.33,0.562468042,0,,0,0.816789642,31.283,32.544
B24_1,B24,1,3,57.5,57.17,0.33,0.577225818,,0,0,0.778380269,31.457,32.602
O142_2,O142,2,4,57.33,57,0.33,0.578947368,0,,0,0.768504786,30.22,31.373
LY347_2,LY347,2,5,56.83,56.5,0.33,0.584070796,0,,0,0.710691824,28.3085,30.28
