GroupID,LC_Adj,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B34,4,0.6,29.853,30.2,1.113,30.837,31.57
B34,5,NA,NA,NA,0.6,29.853,30.2
B35,1,0.683,31.571,31.978,NA,NA,NA
B35,2,0.626,32.005,32.318,0.683,31.571,31.978
B35,3,0.687,30.652,31.13,0.626,32.005,32.318
B35,4,0.924,29.892,30.5,0.687,30.652,31.13
B35,5,NA,NA,NA,0.924,29.892,30.5
B35,1,0.683,31.571,31.978,NA,NA,NA
B35,2,0.626,32.005,32.318,0.683,31.571,31.978
B35,3,0.687,30.652,31.13,0.626,32.005,32.318
B35,4,0.924,29.892,30.5,0.687,30.652,31.13
B35,5,NA,NA,NA,0.924,29.892,30.5
B38,1,0.683,31.571,31.978,NA,NA,NA
B38,2,0.626,32.005,32.318,0.683,31.571,31.978
B38,3,0.687,30.652,31.13,0.626,32.005,32.318
B38,4,0.924,29.892,30.5,0.687,30.652,31.13
B38,5,NA,NA,NA,0.924,29.892,30.5
B38,1,0.683,31.571,31.978,NA,NA,NA
B38,2,0.626,32.005,32.318,0.683,31.571,31.978
B38,3,0.687,30.652,31.13,0.626,32.005,32.318
B38,4,0.924,29.892,30.5,0.687,30.652,31.13
B38,5,NA,NA,NA,0.924,29.892,30.5
B40,1,1.737,31.627,32.647,NA,NA,NA
B40,2,1.352,32.17,32.652,1.737,31.627,32.647
B40,3,0.902,30.968,31.49,1.352,32.17,32.652
B40,4,0.275,29.984,30.09,0.902,30.968,31.49
B40,5,NA,NA,NA,0.275,29.984,30.09
B40,1,1.737,31.627,32.647,NA,NA,NA
B40,2,1.352,32.17,32.652,1.737,31.627,32.647
B40,3,0.902,30.968,31.49,1.352,32.17,32.652
B40,4,0.275,29.984,30.09,0.902,30.968,31.49
B46,1,2.036,31.336,32.623,NA,NA,NA
B46,2,1.986,32.292,33.159,2.036,31.336,32.623
B46,3,0.833,31.023,31.42,1.986,32.292,33.159
B46,4,0.313,30.187,30.37,0.833,31.023,31.42
B46,5,NA,NA,NA,0.313,30.187,30.37
B46,1,2.036,31.336,32.623,NA,NA,NA
B46,2,1.986,32.292,33.159,2.036,31.336,32.623
B46,3,0.833,31.023,31.42,1.986,32.292,33.159
B46,4,0.313,30.187,30.37,0.833,31.023,31.42
B46,5,NA,NA,NA,0.313,30.187,30.37
B48,1,1.552,31.837,32.587,NA,NA,NA
B48,2,1.633,32.288,33.073,1.552,31.837,32.587
B48,3,1.05,31.076,31.83,1.633,32.288,33.073
B48,4,0.79,29.995,30.41,1.05,31.076,31.83
B48,5,NA,NA,NA,0.79,29.995,30.41
B48,1,1.552,31.837,32.587,NA,NA,NA
B48,2,1.633,32.288,33.073,1.552,31.837,32.587
B48,3,1.05,31.076,31.83,1.633,32.288,33.073
B48,4,0.79,29.995,30.41,1.05,31.076,31.83
B48,5,NA,NA,NA,0.79,29.995,30.41
B49,2,1.674,31.988,32.544,0.4,31.55,31.78
B49,3,0.693,30.813,31.283,1.674,31.988,32.544
B49,4,0.75,29.905,30.26,0.693,30.813,31.283
B49,1,0.4,31.55,31.78,NA,NA,NA
B49,2,1.674,31.988,32.544,0.4,31.55,31.78
B49,3,0.693,30.813,31.283,1.674,31.988,32.544
B49,4,0.75,29.905,30.26,0.693,30.813,31.283
B49,5,NA,NA,NA,0.75,29.905,30.26
B54,1,2.637,31.892,33.083,NA,NA,NA
B54,2,1.485,32.076,32.685,2.637,31.892,33.083
B54,3,0.844,30.888,31.488,1.485,32.076,32.685
B54,4,0.272,30.13,30.285,0.844,30.888,31.488
B54,5,NA,NA,NA,0.272,30.13,30.285
B54,1,2.637,31.892,33.083,NA,NA,NA
B54,2,1.485,32.076,32.685,2.637,31.892,33.083
B54,3,0.844,30.888,31.488,1.485,32.076,32.685
B54,4,0.272,30.13,30.285,0.844,30.888,31.488
B54,5,NA,NA,NA,0.272,30.13,30.285
B58,1,1.447,31.469,32.19,NA,NA,NA
B58,2,1.1,32.058,32.573,1.447,31.469,32.19
B58,3,0.946,30.721,31.403,1.1,32.058,32.573
B58,4,0.79,29.825,30.41,0.946,30.721,31.403
B58,5,NA,NA,NA,0.79,29.825,30.41
