FishID,GroupID,Rank,LC_Adj,Init_TL,Diff_TL,Perc_change_TL,Shrink,Growth_ThreeGroups,Dev_Temp_LC,M_Temp_LC,Max_Temp_LC,Dev_Temp_LC_INIT,M_Temp_LC_INIT,Max_Temp_LC_INIT
B007_1,B007,1,4,74,0.33,0.445945946,0,2,0.79,29.851,30.28,1.305,30.942,31.87
B007_1,B007,1,2,73.33,0.5,0.681849175,0,2,1.186,32.007,32.599,0.77,29.853,30.28
B007_2,B007,2,4,53.83,-0.5,-0.928850084,1,3,0.79,29.851,30.28,1.305,30.942,31.87
B007_2,B007,2,2,54.17,-0.33,-0.60919328,1,3,1.186,32.007,32.599,0.77,29.853,30.28
B007_2,B007,2,3,53.83,0,0,0,3,1.305,30.942,31.87,1.186,32.007,32.599
B007_2,B007,2,5,53.33,0.67,1.256328521,0,3,1.093666667,28.734,27.829,0.79,29.851,30.28
B008_1,B008,1,5,78.5,-0.67,-0.853503185,1,2,0.917829228,27.531,28.112,0.64,29.816,30.2
B008_1,B008,1,4,78.17,0.33,0.422156838,0,2,0.64,29.816,30.2,0.85,30.781,31.44
B008_1,B008,1,3,77.33,0.83,1.073322126,0,2,0.85,30.781,31.44,0.315,32.202,32.36
B008_1,B008,1,2,75,2.33,3.106666667,0,2,0.315,32.202,32.36,1.059,31.711,32.256
B008_1,B008,1,1,70,5,7.142857143,0,2,1.059,31.711,32.256,0.8965,31.084,31.656
B008_2,B008,2,4,62.83,-0.33,-0.525226802,1,2,0.64,29.816,30.2,0.85,30.781,31.44
B008_2,B008,2,5,62.5,0,0,0,2,0.917829228,27.531,28.112,0.64,29.816,30.2
B008_2,B008,2,3,62.5,0.33,0.528,0,2,0.85,30.781,31.44,0.315,32.202,32.36
B008_2,B008,2,2,60,2.5,4.166666667,0,2,0.315,32.202,32.36,1.059,31.711,32.256
B008_2,B008,2,1,55,5,9.090909091,0,2,1.059,31.711,32.256,0.8965,31.084,31.656
B010_1,B010,1,2,79,0.67,0.848101266,0,1,1.673,32.101,32.887,3.04,31.455,33.04
B010_1,B010,1,1,78,1,1.282051282,0,1,3.04,31.455,33.04,3.44602439,30.4464,33.3092
B010_2,B010,2,1,54,-0.67,-1.240740741,1,2,3.04,31.455,33.04,3.44602439,30.4464,33.3092
B010_2,B010,2,3,54.17,0.33,0.60919328,0,2,0.857,30.78,31.283,1.673,32.101,32.887
B010_2,B010,2,4,54.5,0.5,0.917431193,0,2,1.127,30.166,30.84,0.857,30.78,31.283
B010_2,B010,2,2,53.33,0.83,1.556347272,0,2,1.673,32.101,32.887,3.04,31.455,33.04
B010_2,B010,2,5,55,2.33,4.236363636,0,2,1.901666667,27.8524,29.2072,1.127,30.166,30.84
B011_1,B011,1,5,68.67,0,0,0,1,0.844666667,29.723,28.791,0.41,30.001,30.18
B011_1,B011,1,3,66.83,0.5,0.748166991,0,1,0.889,30.815,31.487,1.235,32.165,32.712
B011_1,B011,1,4,67.33,1.33,1.975345314,0,1,0.41,30.001,30.18,0.889,30.815,31.487
B011_2,B011,2,5,52.33,-0.33,-0.630613415,1,2,0.844666667,29.723,28.791,0.41,30.001,30.18
B011_2,B011,2,4,51.83,0.5,0.964692263,0,2,0.41,30.001,30.18,0.889,30.815,31.487
B011_2,B011,2,3,51.17,0.67,1.309360954,0,2,0.889,30.815,31.487,1.235,32.165,32.712
B142_1,B142,1,4,74.17,-1.17,-1.577457193,1,3,0.643,30.029,30.427,1.363,30.994,31.96
B142_1,B142,1,2,73.5,-0.5,-0.680272109,1,3,1.018,32.054,32.588,1.717,32.018,32.762
B142_1,B142,1,1,74,-0.5,-0.675675676,1,3,1.717,32.018,32.762,1.9045,31.77925,32.14375
B142_1,B142,1,5,73,0.17,0.232876712,0,3,1.18525,28.26575,28.32725,0.643,30.029,30.427
B142_1,B142,1,3,73,1.17,1.602739726,0,3,1.363,30.994,31.96,1.018,32.054,32.588
B142_2,B142,2,4,55.17,-1,-1.8125793,1,2,0.643,30.029,30.427,1.363,30.994,31.96
B142_2,B142,2,2,54.5,0.17,0.311926606,0,2,1.018,32.054,32.588,1.717,32.018,32.762
B142_2,B142,2,3,54.67,0.5,0.914578379,0,2,1.363,30.994,31.96,1.018,32.054,32.588
B142_2,B142,2,5,54.17,0.83,1.532213402,0,2,1.18525,28.26575,28.32725,0.643,30.029,30.427
B142_2,B142,2,1,53,1.5,2.830188679,0,2,1.717,32.018,32.762,1.9045,31.77925,32.14375
B19_1,B19,1,5,64.17,-0.17,-0.264921303,1,2,0.58625,27.42675,27.37,0.43,29.815,30.083
B19_1,B19,1,2,62,0,0,0,2,0.822,32.049,32.365,0.323,31.241,31.443
B19_1,B19,1,3,62,0.67,1.080645161,0,2,0.77,30.702,31.257,0.822,32.049,32.365
B19_1,B19,1,1,61,1,1.639344262,0,2,0.323,31.241,31.443,0.519,30.23925,29.964
B19_1,B19,1,4,62.67,1.5,2.393489708,0,2,0.43,29.815,30.083,0.77,30.702,31.257
B19_2,B19,2,1,46.5,0,0,0,1,0.323,31.241,31.443,0.519,30.23925,29.964
B19_2,B19,2,3,48,0,0,0,1,0.77,30.702,31.257,0.822,32.049,32.365
B19_2,B19,2,5,49.5,0,0,0,1,0.58625,27.42675,27.37,0.43,29.815,30.083
B19_2,B19,2,4,48,1.5,3.125,0,1,0.43,29.815,30.083,0.77,30.702,31.257
B19_2,B19,2,2,46.5,1.5,3.225806452,0,1,0.822,32.049,32.365,0.323,31.241,31.443
B20_1,B20,1,5,57.67,-0.67,-1.161782556,1,2,1.09025,27.67675,27.65775,0.35,29.889,30.09
B20_1,B20,1,4,57.17,0.5,0.874584572,0,2,0.35,29.889,30.09,0.993,30.943,31.583
B20_1,B20,1,2,56,0.5,0.892857143,0,2,1.235,32.176,32.73,1.783,31.805,32.74
B20_1,B20,1,1,55.5,0.5,0.900900901,0,2,1.783,31.805,32.74,2.2255,31.16725,32.20625
B20_1,B20,1,3,56.5,0.67,1.185840708,0,2,0.993,30.943,31.583,1.235,32.176,32.73
B20_2,B20,2,1,48,-1.5,-3.125,1,2,1.783,31.805,32.74,2.2255,31.16725,32.20625
B20_2,B20,2,5,47.33,0.17,0.359180224,0,2,1.09025,27.67675,27.65775,0.35,29.889,30.09
B20_2,B20,2,4,47.17,0.17,0.360398558,0,2,0.35,29.889,30.09,0.993,30.943,31.583
B20_2,B20,2,3,47,0.17,0.361702128,0,2,0.993,30.943,31.583,1.235,32.176,32.73
B20_2,B20,2,2,46.5,0.5,1.075268817,0,2,1.235,32.176,32.73,1.783,31.805,32.74
B21_1,B21,1,4,65.33,0.17,0.260217358,0,1,0.3,29.884,30.03,0.94,30.894,31.543
B21_1,B21,1,5,65.5,0.33,0.503816794,0,1,0.90625,27.5205,27.569,0.3,29.884,30.03
B21_1,B21,1,3,65,0.33,0.507692308,0,1,0.94,30.894,31.543,0.965,32.25,32.645
B21_1,B21,1,1,63,0.5,0.793650794,0,1,1.42,31.686,32.62,1.7525,30.9015,32.005
B21_1,B21,1,2,63.5,1.5,2.362204724,0,1,0.965,32.25,32.645,1.42,31.686,32.62
B21_2,B21,2,3,49,0,0,0,1,0.94,30.894,31.543,0.965,32.25,32.645
B21_2,B21,2,4,49,0,0,0,1,0.3,29.884,30.03,0.94,30.894,31.543
B21_2,B21,2,5,49,0,0,0,1,0.90625,27.5205,27.569,0.3,29.884,30.03
B21_2,B21,2,2,48,1,2.083333333,0,1,0.965,32.25,32.645,1.42,31.686,32.62
B21_2,B21,2,1,45,3,6.666666667,0,1,1.42,31.686,32.62,1.7525,30.9015,32.005
B24_1,B24,1,1,54,0,0,0,1,0.408,31.501,31.743,0.552,30.61775,30.1715
B24_1,B24,1,5,59.67,0.33,0.55304173,0,1,0.6115,27.38925,27.0295,0.41,29.82,30.03
B24_1,B24,1,3,57.17,0.33,0.577225818,0,1,0.93,30.782,31.457,0.698,32.196,32.602
B24_1,B24,1,4,57.5,2.17,3.773913043,0,1,0.41,29.82,30.03,0.93,30.782,31.457
B24_1,B24,1,2,54,3.17,5.87037037,0,1,0.698,32.196,32.602,0.408,31.501,31.743
B24_2,B24,2,5,46.33,-0.5,-1.079214332,1,2,0.6115,27.38925,27.0295,0.41,29.82,30.03
B24_2,B24,2,4,45.67,0.67,1.467046201,0,2,0.41,29.82,30.03,0.93,30.782,31.457
B24_2,B24,2,1,41.5,1,2.409638554,0,2,0.408,31.501,31.743,0.552,30.61775,30.1715
B24_2,B24,2,3,44.5,1.17,2.629213483,0,2,0.93,30.782,31.457,0.698,32.196,32.602
B24_2,B24,2,2,42.5,2,4.705882353,0,2,0.698,32.196,32.602,0.408,31.501,31.743
B27_1,B27,1,1,75,-5.33,-7.106666667,1,2,1.799,31.639,32.544,2.101,31.0975,31.865
B27_1,B27,1,2,69.67,0.17,0.244007464,0,2,1.157,32.071,32.687,1.799,31.639,32.544
B27_1,B27,1,4,70.5,0.33,0.468085106,0,2,0.553,29.889,30.18,1.083,30.763,31.583
B27_1,B27,1,3,69.83,0.67,0.959473006,0,2,1.083,30.763,31.583,1.157,32.071,32.687
B27_1,B27,1,5,70.83,0.83,1.17181985,0,2,1.148,27.8185,27.767,0.553,29.889,30.18
B27_2,B27,2,3,56.17,-0.83,-1.477657112,1,2,1.083,30.763,31.583,1.157,32.071,32.687
B27_2,B27,2,4,55.33,0.17,0.307247425,0,2,0.553,29.889,30.18,1.083,30.763,31.583
B27_2,B27,2,1,54,0.83,1.537037037,0,2,1.799,31.639,32.544,2.101,31.0975,31.865
B27_2,B27,2,5,55.5,1,1.801801802,0,2,1.148,27.8185,27.767,0.553,29.889,30.18
B27_2,B27,2,2,54.83,1.33,2.425679373,0,2,1.157,32.071,32.687,1.799,31.639,32.544
B28_1,B28,1,4,70.33,-4.67,-6.640125124,1,3,0.547,29.926,30.2,1.117,30.917,31.66
B28_1,B28,1,3,70.83,-0.5,-0.705915572,1,3,1.117,30.917,31.66,0.622,32.326,32.625
B28_1,B28,1,1,68,1,1.470588235,0,3,1.285,31.798,32.488,1.3225,31.09925,31.70425
B28_1,B28,1,2,69,1.83,2.652173913,0,3,0.622,32.326,32.625,1.285,31.798,32.488
B28_1,B28,1,5,65.67,2.83,4.309425917,0,3,0.89275,27.58675,27.78975,0.547,29.926,30.2
B28_2,B28,2,1,52,0,0,0,1,1.285,31.798,32.488,1.3225,31.09925,31.70425
B28_2,B28,2,4,53.67,0,0,0,1,0.547,29.926,30.2,1.117,30.917,31.66
B28_2,B28,2,5,53.67,0.17,0.316750512,0,1,0.89275,27.58675,27.78975,0.547,29.926,30.2
B28_2,B28,2,3,53.5,0.17,0.317757009,0,1,1.117,30.917,31.66,0.622,32.326,32.625
B28_2,B28,2,2,52,1.5,2.884615385,0,1,0.622,32.326,32.625,1.285,31.798,32.488
B29_1,B29,1,3,60.83,0,0,0,1,1.085,30.876,31.65,1.085,32.55,33.085
B29_1,B29,1,5,61.5,0.5,0.81300813,0,1,1.0545,27.10125,27.2965,0.613,29.851,30.2
B29_1,B29,1,4,60.83,0.67,1.101430215,0,1,0.613,29.851,30.2,1.085,30.876,31.65
B29_1,B29,1,1,57,1,1.754385965,0,1,1.435,31.708,32.587,1.671,30.72375,31.5945
B29_1,B29,1,2,58,2.83,4.879310345,0,1,1.085,32.55,33.085,1.435,31.708,32.587
B29_2,B29,2,5,50.67,-0.83,-1.638050128,1,3,1.0545,27.10125,27.2965,0.613,29.851,30.2
B29_2,B29,2,1,49.5,-0.5,-1.01010101,1,3,1.435,31.708,32.587,1.671,30.72375,31.5945
B29_2,B29,2,3,49.5,0.17,0.343434343,0,3,1.085,30.876,31.65,1.085,32.55,33.085
B29_2,B29,2,2,49,0.5,1.020408163,0,3,1.085,32.55,33.085,1.435,31.708,32.587
B29_2,B29,2,4,49.67,1,2.013287699,0,3,0.613,29.851,30.2,1.085,30.876,31.65
B31_1,B31,1,3,80.5,-1.33,-1.652173913,1,2,1.11,31.095,31.74,1.1,32.081,32.67
B31_1,B31,1,5,80.17,0,0,0,2,1.3235,28.037,28.46475,0.454,30.096,30.37
B31_1,B31,1,2,80,0.5,0.625,0,2,1.1,32.081,32.67,2.63,31.658,33.033
B31_1,B31,1,1,79.5,0.5,0.628930818,0,2,2.63,31.658,33.033,2.953,30.873,32.92425
B31_1,B31,1,4,79.17,1,1.263104711,0,2,0.454,30.096,30.37,1.11,31.095,31.74
B31_2,B31,2,3,64,-1,-1.5625,1,3,1.11,31.095,31.74,1.1,32.081,32.67
B31_2,B31,2,5,64.67,-0.67,-1.036029071,1,3,1.3235,28.037,28.46475,0.454,30.096,30.37
B31_2,B31,2,2,64,0,0,0,3,1.1,32.081,32.67,2.63,31.658,33.033
B31_2,B31,2,1,63,1,1.587301587,0,3,2.63,31.658,33.033,2.953,30.873,32.92425
B31_2,B31,2,4,63,1.67,2.650793651,0,3,0.454,30.096,30.37,1.11,31.095,31.74
B32_1,B32,1,3,48,0.17,0.354166667,0,1,1.015,30.817,31.6,0.663,32.327,32.708
B32_1,B32,1,2,47,1,2.127659574,0,1,0.663,32.327,32.708,1.022,31.941,32.495
B32_1,B32,1,1,46,1,2.173913043,0,1,1.022,31.941,32.495,1.031,31.52275,31.73275
B32_1,B32,1,5,51.5,1.67,3.242718447,0,1,0.702607774,27.70025,27.73625,0.645,29.896,30.2
B32_1,B32,1,4,48.17,3.33,6.9130164,0,1,0.645,29.896,30.2,1.015,30.817,31.6
B32_2,B32,2,5,32.83,-0.83,-2.528175449,1,3,0.702607774,27.70025,27.73625,0.645,29.896,30.2
B32_2,B32,2,1,27,-0.5,-1.851851852,1,3,1.022,31.941,32.495,1.031,31.52275,31.73275
B32_2,B32,2,3,30.83,-0.17,-0.551410963,1,3,1.015,30.817,31.6,0.663,32.327,32.708
B32_2,B32,2,4,30.67,2.17,7.0753179,0,3,0.645,29.896,30.2,1.015,30.817,31.6
B32_2,B32,2,2,26.5,4.33,16.33962264,0,3,0.663,32.327,32.708,1.022,31.941,32.495
B33_1,B33,1,2,67,-0.67,-1,1,2,0.901,32.24,32.704,0.965,31.503,31.98
B33_1,B33,1,1,67,0,0,0,2,0.965,31.503,31.98,1.2105,30.61975,30.6245
B33_1,B33,1,3,66.33,0.33,0.497512438,0,2,1.037,30.817,31.55,0.901,32.24,32.704
B33_1,B33,1,5,67.67,0.5,0.738879858,0,2,0.82825,27.53225,27.3475,0.41,29.919,30.18
B33_1,B33,1,4,66.67,1,1.499925004,0,2,0.41,29.919,30.18,1.037,30.817,31.55
B33_2,B33,2,1,55,-1.83,-3.327272727,1,3,0.965,31.503,31.98,1.2105,30.61975,30.6245
B33_2,B33,2,4,53.33,-0.17,-0.318769923,1,3,0.41,29.919,30.18,1.037,30.817,31.55
B33_2,B33,2,2,53.17,0,0,0,3,0.901,32.24,32.704,0.965,31.503,31.98
